data_arquivo,data_dado,posto,ena
2020-09-11,2020-08-24,22.0,12.872916292262225
2020-09-11,2020-08-25,22.0,12.540523083432786
2020-09-11,2020-08-26,22.0,12.382227019680656
2020-09-11,2020-08-27,22.0,12.420045223383164
2020-09-11,2020-08-28,22.0,12.048832620683713
2020-09-11,2020-08-29,22.0,11.853114303218954
2020-09-11,2020-08-30,22.0,11.489196309364948
2020-09-11,2020-08-31,22.0,11.269827839923975
2020-09-11,2020-09-01,22.0,11.313605895848482
2020-09-11,2020-09-02,22.0,11.357989532503133
2020-09-11,2020-09-03,22.0,10.987864005725594
2020-09-11,2020-09-04,22.0,10.777530885572391
2020-09-11,2020-09-05,22.0,10.816852674136868
2020-09-11,2020-09-06,22.0,10.855991446431757
2020-09-11,2020-09-07,22.0,10.858488220947061
2020-09-11,2020-09-08,22.0,10.879574287980688
2020-09-11,2020-09-09,22.0,10.473166336551373
2020-09-11,2020-09-10,22.0,9.84108071651964
2020-09-11,2020-08-12,23.0,18.759070302324613
2020-09-11,2020-08-13,23.0,18.425737167271247
2020-09-11,2020-08-14,23.0,18.135247696508298
2020-09-11,2020-08-15,23.0,17.83288943035187
2020-09-11,2020-08-16,23.0,17.677763329847764
2020-09-11,2020-08-17,23.0,17.574323031476467
2020-09-11,2020-08-18,23.0,17.48749400172838
2020-09-11,2020-08-19,23.0,17.350940120908025
2020-09-11,2020-08-20,23.0,17.178322120913123
2020-09-11,2020-08-21,23.0,16.907365268292615
2020-09-11,2020-08-22,23.0,16.646336979148764
2020-09-11,2020-08-23,23.0,16.490661321319827
2020-09-11,2020-08-24,23.0,16.412280828689642
2020-09-11,2020-08-25,23.0,16.404886388919948
2020-09-11,2020-08-26,23.0,16.245412861887427
2020-09-11,2020-08-27,23.0,15.83065581779684
2020-09-11,2020-08-28,23.0,15.363338893285954
2020-09-11,2020-08-29,23.0,15.198842403211446
2020-09-11,2020-08-30,23.0,15.19781837619784
2020-09-11,2020-08-31,23.0,15.182476759157085
2020-09-11,2020-09-01,23.0,15.143586575601304
2020-09-11,2020-09-02,23.0,14.952102839498927
2020-09-11,2020-09-03,23.0,14.652455541276904
2020-09-11,2020-09-04,23.0,14.310174759300294
2020-09-11,2020-09-05,23.0,14.1249240359428
2020-09-11,2020-09-06,23.0,13.98448516821877
2020-09-11,2020-09-07,23.0,14.088988813042633
2020-09-11,2020-09-08,23.0,14.458281762612545
2020-09-11,2020-09-09,23.0,14.415438592932524
2020-09-11,2020-09-10,23.0,13.778134985851247
2020-09-11,2020-08-12,24.0,183.6267447374818
