posto,2019-09-25 00:00:00,2019-09-26 00:00:00,2019-09-27 00:00:00,2019-09-28 00:00:00,2019-09-29 00:00:00,2019-09-30 00:00:00,2019-10-01 00:00:00,2019-10-02 00:00:00,2019-10-03 00:00:00,2019-10-04 00:00:00,2019-10-05 00:00:00,2019-10-06 00:00:00,2019-10-07 00:00:00,2019-10-08 00:00:00,2019-10-09 00:00:00,2019-10-10 00:00:00,2019-10-11 00:00:00,2019-10-12 00:00:00,2019-10-13 00:00:00,2019-10-14 00:00:00,2019-10-15 00:00:00,2019-10-16 00:00:00,2019-10-17 00:00:00,2019-10-18 00:00:00,2019-10-19 00:00:00,2019-10-20 00:00:00,2019-10-21 00:00:00,2019-10-22 00:00:00,2019-10-23 00:00:00,2019-10-24 00:00:00,prod,nome,ree,sub_mer,bacia,tipo
215,125.2097740740764,107.75759629629547,96.73707407407724,86.39002469135816,82.4025432098757,70.09319753086392,66.64562962962943,56.77346913580192,69.07206172839473,90.52225555555682,126.52715185185396,160.9276666666631,200.9892185185181,186.52489259259724,162.51337037036848,138.74821851851976,116.15426296296212,103.7985185185181,88.02147777777589,82.75822592592783,106.1081851851839,213.65425925926178,242.26151851851535,392.5112962962986,698.0120740740737,385.7489629629617,320.3109259259255,266.23499999999996,231.4851481481494,196.57788888888746,1.3896,BARRA GRANDE,2.0,S,URUGUAI,0.0
216,92.58287376795805,86.51326716942867,81.04891279170519,77.14690802667813,70.17246126604631,67.65462530051333,66.103588449878,62.922230378298224,62.952139153957404,63.90789654254959,74.32405385500738,92.98236529934785,117.29329499949839,138.0473807639353,124.69193701606576,110.76523344163971,100.75390495871213,93.19987174395672,87.23797990178483,90.16480105697488,108.05461888571821,164.91785573903712,203.434657910603,233.77616630502988,280.95616855999566,268.35092399305336,248.61907429379417,225.70960183192895,207.89529814323467,220.24561118466363,1.6244,CAMPOS NOVOS,2.0,S,URUGUAI,0.0
92,383.96980252748193,343.00441746496335,306.6010136362698,285.31133916102,264.79896269439223,249.72006130734087,230.92360247732313,224.81150202394147,231.3092337932432,268.19920854428005,343.2677832878977,444.6532629491452,547.4640801673319,610.337851279152,592.9146345971434,514.728526292774,442.0813360592746,382.855659787146,341.33576202350116,310.4746791038316,302.83411237430767,345.3127239029151,476.8195439381097,679.5388665871286,933.6505038875578,1208.8957238876947,1227.4718462393855,1021.6860817509494,889.1489002250805,785.3836789975829,0.9186,ITÁ,2.0,S,URUGUAI,0.0
93,10.295377412834334,9.46973812793269,9.142557199157274,8.58098472310384,8.66682698453543,7.7365185166210075,8.197830811420598,14.331242050204041,25.15495245303423,40.07241260749394,48.79603023736478,58.23594928496986,52.19517923374012,41.86294237159022,32.19750535680471,25.13585359313482,20.28636768620511,15.457461892823073,15.95175240401804,11.737687063492084,12.526122548637293,17.368290172282528,20.38282469214261,19.403143354117713,19.050610359970612,21.25051685760689,29.266295020987286,26.150802394145558,24.752055817378874,21.03520985569851,2.2427,PASSO FUNDO ,2.0,S,URUGUAI,0.0
220,17.731843043867947,16.508011176689287,15.786886841562342,14.898841363403635,14.838371436039008,13.568660101645143,13.913455006540131,22.61408753665482,39.67482422123189,63.94882305606558,80.89933774974998,96.86149530036255,91.46668971174516,75.12100210234723,58.32827629119403,45.38028496051502,36.35239076999148,28.06293070503324,27.202911532491967,21.485266598339415,21.232674058814297,28.237706507681164,33.99480029290443,33.5958639217662,32.78996601653234,35.74448287049931,47.62774805249171,45.85513260510639,42.905120988769035,37.273465533400774,0.5555,MONJOLINHO,2.0,S,URUGUAI,0.0
286,23.785308641975302,21.92374074074073,20.44830864197534,18.767629629629624,16.9063950617284,15.383123456790095,14.862938271604962,16.897098765432066,19.877246913580247,18.889802469135805,19.888469135802456,20.40102469135802,18.728395061728396,17.30113580246916,15.142728395061761,17.85623456790124,16.552765432098763,14.516271604938268,13.603234567901211,12.449456790123454,11.74156666666667,11.828629629629662,10.923308641975295,11.629098765432078,12.87501234567899,15.563827160493823,16.516530864197545,15.747012345678996,13.744802469135811,12.981351851851809,1.0522,QUEBRA-QUEIXO,2.0,S,URUGUAI,0.0
102,128.93945849999977,123.33317368518442,113.498468,107.96749568518365,107.23699790749059,105.3040529445289,102.32844825926114,108.07044731473246,142.29005516658407,227.77357188897034,362.58043513357813,610.4925699045093,650.889374739687,493.61534272881937,407.0032348650802,341.99506322381035,285.20413966666683,236.4742539867711,215.31257125396976,191.76695158738798,177.63752427425266,166.93379758165733,172.4394532927796,183.84825672602318,171.52442806296258,162.81890160995698,150.62939754840215,155.0915321855359,158.45575090088195,162.1461151714312,0.1985,SÃO JOSÉ,2.0,S,URUGUAI,0.0
111,97.07256450617308,91.86866296296282,83.09396820987774,75.8592391975296,75.13792067901355,75.29230586419632,89.9949225308653,107.47649629629558,138.3978694444432,600.31614074074,615.8278018518538,599.0751472222223,523.9056388888893,347.00204814814794,250.51091820987577,189.3950367283935,155.8177003086413,144.86498641975237,141.3422972222223,149.99123333333327,171.54386944444443,197.5799358333334,221.35861268518548,244.12221166666694,245.786398487655,254.52164509259327,246.71444509259226,238.96246567901198,199.54871577160495,175.13620805555675,0.3797,PASSO REAL  ,2.0,S,JACUÍ,0.0
98,72.9432416666667,65.53509166666713,46.81315277777668,40.60947777777854,40.81445277777668,37.22390277777788,30.692755555556197,23.678772222221898,50.483388888888534,94.29429722216992,247.6226333333854,389.0597499999391,313.65395000006095,230.60380925925952,168.13817129624366,119.06868611111146,90.3623,85.54650000005367,83.03722777777662,109.17750833333436,140.6974722222219,237.61028425925895,413.39360555549445,462.511487037036,400.6810092592595,258.8921777778403,211.7563555555554,188.06081111111095,153.21883611105773,129.8688472222754,0.7585,CASTRO ALVES,2.0,S,JACUÍ,0.0
115,14.502518518518523,13.527629629629663,12.77529629629629,12.097037037037069,12.02062962962964,11.897925925925882,11.877074074074075,11.643259259259253,11.696481481481529,11.944148148148102,12.932555555555547,13.726518518518473,13.96492592592596,13.712592592592612,13.191740740740743,12.51348148148148,11.52074074074069,10.815037037037051,10.896370370370354,11.505148148148189,12.72547037037036,13.677707407407404,13.76188395061729,12.759640740740759,11.462311111111106,10.848590123456795,10.876844444444465,10.996481481481515,11.08837407407404,10.972283333333294,6.5259,CAP.CACH.   ,2.0,S,CAPIVARI,0.0
